PC1,PC2,PC3,PC4,PC5,date,close
-2.2905861108244174,0.8065594921198442,-0.8250117753247018,1.9382309955288788,2.260610233258988,2023-12-28,203.7
-2.8553970047866053,1.2177593059199956,-1.0426921782485001,1.0957679076915834,2.6092790999315643,2024-01-01,202.5
-3.508263026949971,1.847386021805776,-1.497919955609649,1.5591172367672013,2.9684924316691914,2024-01-02,200.2
-3.124247502358015,0.95393382835549,-0.5642638141169605,-0.2938752456450184,3.138349185984143,2024-01-03,201.0
-3.6661808479539926,1.8659655820256364,-1.3092164230155052,0.5050166311565828,2.7278209959350646,2024-01-04,197.6
-4.306421560313237,2.115913647664069,-1.2677544541613854,0.017686208112931215,2.561101383654092,2024-01-07,195.5
-3.830248681719105,1.097610649183619,-0.2652144988419915,-1.1721599179477742,2.5345717695432093,2024-01-08,197.1
-4.3408840049141055,0.8270437395051994,0.19335451032570783,-0.17688290280093286,0.4233109335448117,2024-01-09,196.6
-3.539003141487431,-0.3098162421266268,1.2345880767169952,-1.1993070237002577,0.1460412499353246,2024-01-10,199.5
-3.9065281235273095,-0.20960699923174586,1.0776691676940102,0.06746552777587353,-0.013268649089400834,2024-01-11,199.0
-3.0332572737939936,-1.3702586395948837,2.096376163596788,-0.949283731220565,-0.08645216874205419,2024-01-14,201.5
-1.4239599244127008,-2.8987951985713956,3.027015833575133,-1.2337634129695716,-0.014733350005649121,2024-01-16,205.9
-0.024702512367035342,-3.7220210647047884,3.030737754862686,-0.10459741818841205,-0.17978824035560578,2024-01-17,209.1
-0.7149154285298501,-3.080591240574341,2.47404024388141,1.6282173898973602,-0.04127504819212429,2024-01-18,208.0
-2.79320168545328,-0.04045193074819972,0.1221902726721344,3.562369395461786,-1.1010681799721356,2024-01-21,198.1
-3.6394447521890965,0.11374467838882665,0.061330292458332,1.8093112667577171,-1.0702444785023248,2024-01-22,195.9
-3.9609935157132865,-0.17634703395575332,0.31686089551772034,1.2126449237000854,-0.4178418856813955,2024-01-23,196.7
-3.665157376734016,-0.3695511297608507,0.438698164436608,1.21410588792579,-0.11145342310563881,2024-01-24,197.0
-3.2748637927258506,-0.4069285970251902,0.3720485284249559,0.7444744322936495,0.5581421294990314,2024-01-25,197.5
-3.446410537275326,0.4277897774199996,-0.4156989582959651,0.40574308851038166,2.380285239599359,2024-01-28,196.0
